;text
580;"Глава СК РФ Александр Бастрыкин обратил внимание на ситуацию в Химках, где многодетная семья живет в ветхом бараке 1939 года постройки на улице Павлова, 5.

Павел, отец четверых детей, рассказал об ужасных условиях: плесень, сырость и недостаток пространства. Несмотря на сложные условия, дети активно участвуют в школьной и спортивной жизни. Семья обращалась в органы власти с просьбой о расселении, но безрезультатно. Расселить обещали неоднократно, только сроки сдвигали и теперь расселение ожидается к 2027 году.

В 2014 году износ конструкций здания составлял более 70%, оно до сих пор не признано аварийным, поэтому благоустроенное жилье семье не предлагают.

Александр Бастрыкин взял ситуацию под контроль и поручил доложить о результатах процессуальной проверки и об установленных обстоятельствах. 
Исполнение поручения поставлено на контроль в центральном аппарате ведомства."
581;Преступление и наказание на Машкинском шоссе у Ашана 😁
582;"«Нина Павловна, каждый день бомж!»

С такими эмоциями уборщица дома на улице Германа Титова выходит на работу. В подъезде уже несколько дней живет подозрительная личность, оставляющая после себя тонны бутылок и окурков."
583;"Ночной чат!
Какие у вас цели на этот год?"
584;"В Химках продают необычную «санитарную» Волгу 😅

На продажу выставлена ГАЗ-310231 «Волга» на базе ГАЗ-3110, которая раньше использовалась как медицинский санитарный автомобиль. Теперь под её капотом установлен 2,5-л. турбомотор 1JZ-GTE VVTI мощностью 280 л.с.

Двигатель работает в паре с 6ст. МКПП Getrag от дизельной BMW. Задний мост взят от Volvo и оснащён червячной блокировкой. Передние тормоза заменены на комплект от Porsche Cayenne, а также установлен гидроручник.

Продавец отмечает, что машина стоит на учёте и может остаться зарегистрированной у нового владельца при условии своевременной оплаты штрафов. 

Цена — ₽770 тыс. Хотели бы такой аппарат?))"
585;"Житель соседнего Долгопрудного несколько лет жил с молочным зубом в носу 🦷

22-летний парень обратился к врачам с жалобами на продолжительный насморк и затруднённое дыхание. В ходе обследования медики обнаружили у него в носу молочный зуб, покрытый грибковым содержимым.

Сколько именно зуб находился в носу, неизвестно, но, судя по состоянию, он мог пролежать там даже несколько лет!

После удаления зуба состояние пациента улучшилось."
586;"Местным подросткам чем-то не угодил пвз Озон на ул.Калинина, д.5 🤪

Постоянно приходят разные школьники и начинают терроризировать это место - то оскорбления сыпят сотрудникам, либо свет выключают, дверью сильно хлопают специально и убегают, просто закидывают сюда всякий мусор или бутылки, чтоб осколки были повсюду.

Будем надеяться, родители узнают своих героев и проведут с ними беседу."
587;"Администрация ТЦ «Мега» официально подтвердила информацию о запуске комплекса «АэроТермы» на месте Оби 🎉 

Здание будет связано с основной частью торгового центра, что позволит гостям быстро и удобно проходить между комплексом.

Комплекс будем самым крупным в Москве!

Ранее мы в разные годы публиковали ночные чаты и опросы, что бы хотели жители на месте недостроенного Торжка, с отрывом всегда побеждал вариант с аквапарком, термами, спа и прочим подобным.
Так вот, чаяния химчан были услышаны, пусть и не на месте Торжка, а на месте Оби 😅"
588;Вот уже весна, а праздничный шарик на Химкинском Арбате до сих пор радует новогодним настроением 😄
589;"443 маршрут на московском электробусе? Скоро это станет реальностью!? 😯

Ранее мы сообщали, что в июне 2025 года планируется передача смежных маршрутов между Москвой и областью в пользу Мосгортранса. Пилотным городом выбрали Химки и, предварительно, 342, 343, 344, 345, 383, 443 маршруты отдадут Москве (возможно, от каких-то откажутся, а какие-то добавят).

Причем, в рамках такой «синхронизации» транспортных систем двух субъектов старые маршруты могут получить четырёхзначные номера. К старым номерам 3хх в начале добавится единица - 13хх.

Что касается электробусов - пока что вряд ли. Первоначально планируется запуск на данные маршруты автобусов на газомоторном топливе. На площадке «Ховрино» на Левобережной, 6 установлена специальная заправочная инфраструктура для таких автобусов, откуда они и поедут на новые маршруты.

Пока официальных комментариев ещё нет, но в ближайшие месяцы будет интересно."
590;"⚡️⚡️На месте сгоревшего гипермаркета OBI в 
 Химках планируется построить акватермальный комплекс

""Мега"" и ""Квантум групп"" договорились о запуске на территории ТЦ всесезонного курорта - акватермального комплекса ""Аэротермы"". В рамках проекта планируется строительство здания общей площадью 13,5 тысяч квадратных метров, интегрированного в ""Мега Химки"".

""На территории торгового центра будут размещены бани, сауны и хаммамы, бассейны, спа, кафе и рестораны, а на уличной территории комплекса – всесезонные термальные бассейны, зоны отдыха, загара и развлечений"", – рассказал представитель управляющей компании.

Он уточнил, что общий объем инвестиций в проект составит 3 миллиарда рублей, открытие комплекса запланировано на четвертый квартал 2027 года."
591;А вот и обещанная проверка сирен в Химках 🚨
592;"А это старый-новый троллейбус под номером 0050, с марта полноценно курсирует по химкинским улицам 🚎

Троллейбусное предприятие Химок восстановило БКМ-321 2012 года выпуска из числа переданных Москвой при ликвидации троллейбусной сети ещё в 2020 году. 

Всё это время он ожидал полноценного и качественного приведения в порядок - и теперь вполне тянет на новую машину, несмотря на то, что троллейбусу уже 13 лет."
593;"Доброе утро с бывшей территории парк-отеля «Олимпиец» 👋🏼
Все изменилось до неузнаваемости! А тем временем, свежепостроенные новостройки уже начали заселяться 🏢🏢🏢"
594;"⚡️На улице Родионова задымился автобус

Вероятно где-то произошло возгорание. Все пассажиры покинули салон, никто не пострадал."
595;"⚡️Напоминаем, завтра в Химках с 10:30 до 11:00 будут проверять систему оповещения.

Заработают сирены, а по ТВ и радио пройдет дополнительная проверка."
596;"❗️Осторожно! На улице Бабакина собака кидается на прохожих!

От подписчицы:
___________
Химки, улица Бабакина, между домами 4 и 7.

Женщина каждый день приходит утром около 9 и вечером около 18ч в место, где гаражный кооператив, и выпускает собаку с цепи. 

Собака выборочно агрессивная, мои окна выходят на эту сторону, и я часто вижу картину: женщина кормит голубей, собака выпущена, гуляет без намордника и поводка, на кого-то внезапно начинает лаять и прыгать. 

Женщина не признает никаких просьб держать пса на поводке, начинает оскорблять, вместо конструктивного диалога. Сама хожу с перцовым баллоном, т.к я с ребенком, и страшно ходить к машине. Сегодня собака тебя не замечает, а завтра кидается. 

На видео мужчина выходил с парковки, и собака сразу на него накинулась, он стал обороняться. Пытался взять что-то с земли, чтоб испугать и отогнать от себя собаку. Я услышала, что он кричит: «уберите собаку, как вы надоели с ней!», а в ответ что-то вроде «он никого не трогает» и порция оскорблений. 

Надо бы снимать на видео все ситуации, но часто не слышно из-за дороги :( 

Хотелось бы как-то вразумить эту женщину!!! Такая собака должна быть исключительно на поводке и в наморднике, если выпущена на прогулку!!!!"
597;"Мгла на Репина 💨
Теперь там термы открылись очередные прям на улице)"
598;Скоро на улицы Химок хлынут тысячи самокатов и начнутся очередные чп-новости, связанные с ними 🤪
599;"На маршруты Мострансавто скоро выйдут автобусы нового поколения «Citymax-12» 🚌

Этот автобус отличается хорошей маневренностью, а также широкими дверьми и просторными проходами между сиденьями. Транспортное средство оснащено новым дизельным двигателем ЯМЗ-537 с мощностью 360 лошадиных сил и объемом 7,7 литра. Кузов выполнен из легких и прочных материалов, которые не ржавеют, а благодаря новым материалам, в автобусе стало тише. Кроме того, большие окна обеспечивают хороший обзор.

В салоне автобуса могут разместиться 109 пассажиров. Для их удобства есть USB-зарядки, двухзонный климат-контроль и аппарель для инвалидных колясок. Система «книлинг» наклоняет автобус к дверям для удобной посадки и высадки."
600;"❗️Опять в речку Химка кипяток попадает
Причем льется прям из трубы и стекает в залив перед ЖК Лесной уголок"
601;"К 8 марта в Химках установится теплая весенняя погода ❤️

С каждым днем температура будет повышаться, сегодня уже до +3, а на выходных до +8, и даже по ночам температурные показатели останутся положительными."
602;"Ночной чат!
Хорошо ли вы знаете своих соседей?"
603;Атмосферное фото с прошедшей Масленицы в парке Толстого 😈
604;"⚡️Строительство ж/д моста через канал им. Москвы между станциями Химки и Левобережная завершится в этом году

Мост станет частью будущей высокоскоростной линии Москва - Санкт-Петербург (ВСМ)."
605;Химки вошли в ТОП-20 городов России по объемам строящегося жилья 😯
606;"Подростки украли электросамокат на Горшина 3к1🤬

Даже попытались закрыть камеру, но все равно разглядеть их можно.

Потерпевшие просят связаться с родителями этих воришек, чтобы разобраться на месте и избежать последствий: «Если кто-то в курсе, пишите в комменты — лучше решить всё мирно»."
607;Будем надеяться в этот раз так не будет :)
608;А такое кто-нибудь помнит?) Универмаг на Сходне в 2002 году 🤩
609;"А это проводы зимы в Солнечной системе и Двух столицах 🔥

Все организовано, как обычно, местным ДК Луч.

Куча разных активностей, фаер-шоу, всевозможные аниматоры с ростовыми куклами, перетягивание каната и даже кулачные бои!"
610;"Жители Солнечной Системы и Двух Столиц принесли в жертву чучело масленицы во имя успешного строительства ж/д станции «Монумент» (Химки-2) 😁

Сжигание было организовано как раз аккурат напротив предполагаемой строительной площадки 

Да будет станция!"
611;"А вот и весеннее обострение! 🫣
Парень на станции Химки вчера к ночи начал неадекватно себя вести (явно был под чем-то), стал кидаться на людей, разгромил мусорку и кидался ее содержимым, одежду с себя снял.
Чем все закончилось, неизвестно"
612;"❗️Если вы опоздали на работу/учебу по причине сбоев на МЦД-3, можно взять об этом справку

Такую справку можно получить на станциях и вокзалах при задержке пригородных поездов в Московской области."
613;"Ночной чат!
Как ваши выходные прошли? Блинов удалось покушать?)"
614;На пустом мосту через МКАД на Молодежной умудрились столкнуться троллейбус и легковушка, пассажирам пришлось топать пешком до ближайшей остановки 🤦🏻‍♂️
615;"Соотношение болельщиков воронежского Факела и Химок на сегодняшнем матче в «Арена Химки» 😧

Еще ребята из Воронежа даже баннер взяли «Мы хозяева стадиона», однако им это не помогло - Химки выиграли 1:0 👏🏼"
616;Ну вот в Химках и проводили зиму! 🔥
617;Масленица в парке Толстого 🔥
618;"В парке Толстого произошло импортозамещение Angry Birds 😁
Вместо птичек - валенки)"
619;А это очередь в парке Толстого за бесплатными блинами, чаем и сосисками в тесте 🫣
620;"Масленицы в парке Дубки походу не будет, кто-то упёр чучело 🤣

P.S. Ну а на самом деле в парке Дубки прошел парад чучел масленицы)
На фото ещё несколько экземпляров"
621;"На МЦД-3 теперь развозят еду и напитки! 🥪🥤

По вагонам ходит буфетчица с тележкой в униформе «Буфет экспресс». Цены не халява, но перекусить можно)"
622;"От подписчицы:
______________
А вот так в Новогорске болельщики Динамо загаживают бутылками и другим мусором всю территорию рядом со спортбазой на Соколовской. Причем, такое после каждого матча. Сколько же в них пива влезает!"
623;"А вот в марте всегда так было, вроде настроишься на весну, а тут бац, и внезапно снегом все завалило! 

Зато новогодняя ёлка, которую забыли убрать в Подрезково на ул.Жаринова 8А, снова выглядит актуально 😅"
624;"А по утрам в Химках дрозды вовсю уже поют (несмотря на сегодняшний снегопад)! 
Приближают весну, как могут ☀️

ЖК Город Набережных"
625;"Ночной чат!
Пойдете на масленичные гуляния в химкинские парки завтра?"
626;"В Солнечной Системе и Двух Столицах сегодня тоже Масленицу отмечали 🥞

Для местных жителей город организовал масленичные гуляния, где угощали блинами, развлекали играми и танцами, разыгрывали призы.

Ну а самый большой городской праздник в честь Масленицы ожидает химчан завтра во всех парках. Центральная площадка - по традиции, Парк Толстого, в 12:00.
Чучело Масленицы там начнут сжигать к 15:30."
627;А вот такой праздник устроили себе сегодня жители ЖК Маяк в честь Масленицы 🔥
628;На площадке Интеграла на Лавочкина уже привычное местным жителям «жужжание» на весь район - у ребят весенние соревнования самодельных летательных аппаратов 🛸
629;"❗️С сегодняшнего дня в Подмосковье могут выписать штраф владельцам незарегистрированных собак

Вступил в силу соответствующий закон о регистрации домашних животных. 

Специалисты Минсельхозпрода области будут проверять наличие чипов у животных в местах частого выгула. Об этом сообщили в ведомстве.

При выявлении первого нарушения владельца питомца предупредят, а при повторном случае выпишут штраф от 1,5 до 3 тысяч рублей. Установить животному чип и внести его в реестр обойдется в примерно 350 рублей.

Записаться на регистрацию можно через Госуслуги.

А вы уже зарегистрировали своего песеля?"
630;Сегодня на улицах Химок проходит замена флагов и тематических украшений: с 23 февраля на 8 марта 🌷
631;На Молодежной д.8 очередные наркоманы в поиске закладки разломали все почтовые ящики 🤬
632;"🤔 От подписчика:
_______________
Дворы жилых домов по адресу: Ленинский проспект, д. 11 и д. 13 недавно перекрыли шлагбаумами. При этом, во дворе этих домов находится детский садик «Березка» (МБОУ Гимназия №9). 

И как теперь остальным жителям города возить туда детей?

По закону установка шлагбаумов во дворах жилых домов не должна нарушать права и законные интересы других жителей. Но про это никто не подумал. 

Как и про то, что жильцы могут распоряжаться только общедомовым имуществом жилого дома. Но земельные участки, которые относятся к этим домам, не стоят на кадастровом учете, следовательно границы этого общедомового имущества не определены в соответствии с земельным и жилищным законодательством. 
Как вообще согласовали установку там шлагбаумов?"
633;"Даже водители маршруток не брезгуют ездить по тротуару на Коммунальном проезде, чтоб объехать пробку 😧

Маршрутка D3, вид изнутри. 

(P.S. Водитель на видео с тротуара съехал из-за пешеходов и большую часть пути ехал просто по земле, параллельно дороге)"
634;"❗️Владельцы алабая и стаффорда, [https://vk.com/wall-34882023_1848646|напавших вчера] на корги местного мальчика на Молодёжной 34/1, привлечены к ответственности

Хозяевам собак выписан штраф по административному правонарушению в области обращения с животными."
635;"Оказывается, очень многие химчане спустя 2 года до сих пор не в курсе, что Химки стали больше в 2,5 раза!

Более того, некоторые жители этих новых территорий сами не в курсе, что они теперь химчане 😅

Каждый раз, если есть новость не из «традиционных» границ Химок, люди удивляются, что населенные пункты, некогда бывшие Солнечногорским округом - теперь тоже Химки!)

1 января 2023 года Химки приобрели новые территории - это территориальные управления Луневское и Кутузовское. Просим любить и жаловать, как говорится!"
636;"Ммм, вот и первый календарный день весны, снег тает, тепло приближается ☺️
Всем доброе утро!"
637;"Химкинская деревня Брёхово разделилась на светлую и темную сторону ◼️⚡️◻️

В одних домах есть свет, в других нет. Более того, некоторые дома, как на фото, и вовсе разделены по подъездам - в одних отключили свет, в других все в порядке. Подписчики сообщают, что многие застряли в лифтах, некоторые стоят с детьми с колясками у подъездов и не могут подняться в свои квартиры…

Ситуация продолжается уже больше часа."
638;"Прямо сейчас на небе можно наблюдать малый парад планет 🪐
Химчане, вам что-нибудь видно?)

C 18:00 до 19:00 возле самого горизонта можно было заметить Сатурн.
В 19:30 ушел за горизонт Меркурий, в 20:00 — Нептун, а в 21:30 — Венера.

Именно эти четыре небесных тела и составляют малый парад планет 28 февраля. Остальные три — Марс, Юпитер и Уран будут находиться над горизонтом всю ночь.

Самые яркие из планет — Венера, Юпитер и Марс видны невооруженным глазом. Сатурн и Меркурий можно было отыскать на закате низко у горизонта при ясной погоде. Нептун и Уран видны только в телескоп."
639;"❗️Продолжение [https://vk.com/wall-34882023_1848646|истории с нападением] собак на Молодёжной 34/1

Инцидент сразу взяли на контроль в территориальном управлении Новых Химок и в полиции. Сотрудники правоохранительных органов выехали по адресу проживания владельца агрессивных собак. Дверь никто не открыл, лая собак за дверью слышно не было.

Сейчас ведётся работа по сбору материалов для приобщения к делу (записей с камер наблюдения, сведений очевидцев) и организации региональной  проверки по факту надлежащего содержания и выгула животных."
640;"Баню на станции Химки, которая сгорела 9 февраля, уже восстанавливают!
И, похоже, теперь она станет побольше 🤔"
641;"❗️Елена Землякова сегодня избрана главой г.о. Химки 

Соответствующее решение единогласно принято на заседании Совета депутатов округа.

В должности ВРИО Елена находилась всего месяц после недавно покинувшего свой пост Дмитрия Волошина."
642;"😱Наглядный пример, почему надо надевать на грозных собак намордник и уж тем более держать их на поводке…

От подписчиков:
_______________
У нас на Молодежной 34/1 живет сосед с алабаем и стаффордом.

Выгуливает и выводит без поводка и намордника! Несколько раз жители просили его надеть на собак намордники! В ответ слышали «вы злее, чем мои собаки»!

Сегодня обе собаки напали на мимо проходящего корги местного мальчика. Результат вы можете видеть на видео…
Мы составляем коллективную жалобу в полицию."
643;"От подписчика:
____________
Один военкомат на 3 подмосковных города! Химки, Лобня, Долгопрудный… И такое маленькое неудобное помещение! Просто узкий коридор с комнатками. Ну как же так?

Дожидаться очереди на прием (и не дождаться) приходиться на улице. Туалета нет. Информация на улицу не вывешивается. В результате третий раз подряд вынужден целовать дверь и уходить ни с чем. Вчера в первый раз попал внутрь и выяснил, что по моему заявлению не хватает документов и вообще они такие заявления только по понедельникам принимают... Вот правда говорят, кто в армии служил, тот в цирке не смеётся!

Дайте уже нашему военкомату помещение нормальное, подстать ажиотажу и увеличившемуся населению трех городов!"
644;"Химчанка нашла чужой телефон, увидела там открытое приложение маркетплейса и забрала заказанные товары себе 🤯

Как только владелец телефона опомнился, сразу пошел в полицию и написал заявление. Ущерб составил ~8 тыс. ₽

Женщину задержали, она во всем созналась.
Похищенные посылочки никуда деть не успела, все имущество возвращено владельцу.

В отношении женщины возбуждено уголовное дело. Фигурантка находится под подпиской о невыезде и надлежащем поведении."
645;А это 5:57 утра сегодня на Горшина. Называется, соседи, просыпайтесь! 🤡
646;"Жительница Химок отсудила алименты благодаря фоткам в Запрещенограме: пока мужчина бегал от бывшей и говорил о проблемах, новая жена постила снимки из Дубая и показывала роскошные сумочки

Как стало известно SHOT, Валерия (имя изменено) рассталась с мужем ещё в 2017 году. Он оставил супруге и 7-летней дочке квартиру, а нормальные алименты с тех пор платить отказывался. Говорил, мол, проблемы с бизнесом.

Пока муж отправлял документы об убыточном бизнесе, его новая дама сердца – инфлюенсерка постила фото с дорогими подарками из люксовых отелей. Как рассказала адвокат Валерии Алина Селиханова, вся эта роскошная жизнь стала доказательством в суде.

Теперь мужичку, кроме «дольчи габанов» и «хермесов», придётся тратиться и на алименты для дочки. Кстати, обладательница всей роскоши после длительных судов супруга тоже с ним развелась и тоже осталась с ребёнком."
647;"Рассвет на Молодежной 😍
Всем доброе утро!"
648;"🌌Сразу после захода солнца 28 февраля в Химках можно будет увидеть «малый парад планет» — в узком секторе неба соберутся Сатурн, Меркурий, Нептун и Венера.

Время для наблюдений:
• 18:00–19:00 — Сатурн (низко над горизонтом).
• До 19:30 — Меркурий.
• До 20:00 — Нептун.
• До 21:30 — Венера."
649;"От подписчика:
___________
Вот и до Горшина добралась тема со сменами хороших домофонов на новые… В доме 6к2 сменили домофон, теперь он постоянно ломается и жители дома не могут не зайти, не выйти. Вопрос, чем не устраивал прежний домофон?"
650;"Очередной гений парковки. Взял и перекрыл проход к детскому саду 🤦🏻‍♂️

От подписчицы:
____________
Подрезково, напротив детского сада Бусинка в 8 утра был перекрыт перешедный переход грузовым автомобилем. Людям пришлось вести детей в сад по проезжей части и газонам. Наглости человеческой нет предела."
651;"Весна близко! Природа в Химках оживает 🌱

Сквер Рубцовой"
652;"Как говорится, никто никогда не вернется в 2007 год 😅
Станция Химки. Парковка вместо круга. И Поляна ещё одноэтажная)"
653;"⚡️⚡️Заезд с МКАДа через Арфу в жилой район на Молодежной стал платный

От подписчика:
_____________
Торговый центр Арфа сделал платным один из своих шлагбаумов. Даже на Яндексе теперь там закрыт проезд. Местным жителям предлагается приобрести абонемент за 4000₽ в месяц!! 
Может ли администрация Химок как-то повлиять?

Потому что теперь перекрыт проезд к ул. Молодежная, д.1,3,5 и Бабакина, д.13,15. А это был единственный проезд с МКАДа напрямую, минуя петлю с пробками на Молодежной!"
654;"В Химках в этом году заасфальтируют 22 народные тропы 🚸

Дорожки обустроят по единому стандарту – уложат асфальт шириной 2 метра и установят бортовой камень.

Предварительный перечень адресов проведения ремонта:
1. Улица Парковая, от пешеходного перехода к дому № 5 
2. Улица 9 Мая, от детской площадки до дома №18Б
3. Улица 9 Мая, от дома №12А до дома №18Б
4. Улица 9 Мая, вблизи дома №10В
5. Куркинское шоссе, около детского сада №22
6. Куркинское шоссе, вблизи дома №5
7. Молодежный проезд, около детского сада №13
8. Проспект Мельникова, вблизи дома №2Б
9. Проспект Мельникова, от дома №2Б к пешеходному переходу 
10. Проспект Мельникова, от дома №2/1 в сторону дома №5 по улице Дружбы 
11. Улица Родионова, вблизи дома 13/18
12. Микрорайон Планерная, вблизи дома №18
13. Улица Калинина, вблизи дома №3А
14. Улица Ватутина, от дома №1 до дома №3
15. 20 километр Ленинградского шоссе
16. Улица Жаринова, от дома №9 до дома №12 (Участок 1)
17. Улица Жаринова, от дома №9 до дома №12 (Участок 2)
18. Улица Жаринова, вблизи дома №8
19. Тепличный проезд, вблизи дома №6
20. Улица Колхозная, вблизи площадки для выгула собак 
21. Улица Микояна, вблизи школы №22
22. Деревня Клушино, от парковки многоквартирного дома №70А вдоль пожарного пруда до зоны отдыха у Клушинского шоссе"
655;"Строительство ж/д станции «Монумент» (Химки-2) начнется в 2026 году 👍🏼

Об этом сообщает федеральное агентство железнодорожного транспорта (Росжелдор).

С декабря 2024 г. проводится разработка проектной документации на строительство
данной станции между станциями Химки и Молжаниново. Плановый срок начала стройки - 2026 год.

Сроки окончания строительства будут определены после завершения проектных работ."
656;[https://vk.com/wall-34882023_1824298|Телепорт из 2024 в 2025 год] на Левом берегу закрыли решётками 🥲
657;"Детский хоккейный клуб «Химки» одержал победу над Мытищами и Москвой 👏🏼

В прошедшие выходные наши маленькие спортсмены поздравили наш дорогой город с праздником - 23 Февраля - победой! 

В турнире были разгромлены соперники из г. Москва и из г. Мытищи. Команда ХК «ХИМКИ» привезла золотые медали турнира и свой первый кубок. Эти 7-летние мужики во главе с тренерами прошли уже всё, что можно, где-то им не хватало чуть-чуть, где-то их просто вбивали в лед и в борта, где-то просто не хватало капельку везения, но парни очень символично одержали победу и поздравили таким образом всех горожан с праздником!"
658;"❗В Подмосковье собираются полностью отказаться от бумажных платежек за ЖКУ

По словам вице-премьера Дмитрий Григоренко, федеральный проект решили опробовать на Московской области. Основная цель – исключить дублирование платежных документов. Услуги для населения должны стать более гибкими и удобными.

Подмосковье стало площадкой для эксперимента по двум причинам:
Во-первых, большинство жителей получает здесь единый платежный документ. Из бумажного в электронный вид придется переводить только одну квитанцию.
Во-вторых, в Подмосковье быстрыми темпами идет цифровизация коммунальных платежек. В МосОблЕИРЦ действует программа «Коммунальный бонус». Она доступна тем, кто оплачивает счета с мобильного приложения или личного кабинета. 

При этом, на сегодняшний день от бумажных квитанций в Подмосковье уже отказались до двух миллионов жителей."
659;"Ночной чат! 
Ну как там ваша масленица проходит, блинов успели уже отведать?"
660;Этот круг на Репина только недавно сделали, а он в таком состоянии, как будто сюда снаряд прилетел 😧
661;"Хирургический корпус больницы в Химках отремонтируют за 1,8 млрд рублей 🤑

Сейчас идет поиск подрядчика для проведения кап.ремонта хирургического корпуса в Химкинской клинической больнице. На эти цели из регионального бюджета направят 1,81 млрд рублей, работы должны завершиться в 2027 году.

Основной задачей является проектировка внутреннего многофункционального пространства, «которое позволит снизить стресс пациентов и персонала, будет способствовать поддержанию морального духа и высокой производительности труда». Согласно тех.заданию необходимо выделить различные зоны для ожидания, отдыха и общения, придать стенам информативную функцию и более доброжелательный облик, разработать информационно-навигационную систему, визуально расширить узкие коридоры и увеличить высоту потолков."
